Date,Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_hist,stoch_k,stoch_d,williams_r,cci,tsi,roc1,roc5,roc10,roc20,ma50,ma200,adx,atr,volatility,vol_ratio,bb_squeeze,bb_upper,bb_lower,bb_position,keltner_pos,volume_ma,volume_ratio,obv,cmf,price_change,price_momentum,return_autocorr,gap,intraday_range,consec_days,price_zscore,vwap_dev,rsi_lag5,adx_lag5,volatility_lag5,macd_lag5,stoch_k_lag5,is_uptrend,is_bull_regime,ml_signal,ml_proba,mr_signal,mom_signal,regime,is_bull,ann_vol,combined_signal,position_sizes,portfolio_bh,portfolio_mr,portfolio_mom,portfolio_ml,portfolio_comb
2025-05-30,1412.3591925541664,1424.9090454066045,1404.0921613404494,1415.2476806640625,13788484.0,57.312032041763494,23.90559941355059,31.5597396581372,-7.6541402445866105,37.2092617387532,37.933710570951014,-62.7907382612468,-19.981152189010373,21.410546179684598,0.0021864706617111818,-0.004135167520626037,-0.02437516030808773,0.0007747264632920192,1328.661455078125,1322.4201428222657,18.39314093464849,22.360693786911042,0.22983820488859785,0.44955568804779533,1.0,1452.7941921005204,1382.7708591690107,0.4637999954503396,0.6314520636341721,11002574.55,1.2532052327698155,1.0238034035796093,-0.06639324463327256,0.0021864706617111818,-0.004135167520626037,-0.20033717726474157,0.00014103102315494545,0.014709004190974847,2.0,0.9835146477224509,-0.0010028566493637614,60.06161888949918,30.79713805466733,0.29948488624296743,34.72976791995529,60.184187253649135,1,1,,0.48196521562102757,,,BULL_LOW_VOL,1,0.22983820488859785,,0.0,100000.0,100000.0,100000.0,102969.28875350147,100000.0
2025-06-02,1406.4826830156508,1411.8612262898896,1390.0483195350275,1408.0762939453125,8098668.0,55.15101837165348,21.632160290697357,29.57422378464923,-7.942063493951874,27.507551809866747,32.37330230775032,-72.49244819013325,-82.82921158284182,19.91369454837861,-0.005067230857700444,-0.014705916268938801,-0.01880898915208218,-0.012296542889208895,1332.1445458984374,1322.1431829833984,17.472278310798526,21.649255141376216,0.22853655598401112,0.3856992504391634,1.0,1451.9706675548086,1381.8413807850352,0.37409354021243035,0.5524310563331833,10773225.5,0.7517403214107047,1.0118972093188334,-0.025507819306787673,-0.005067230857700444,-0.014705916268938801,-0.19319349744415584,-0.006193260563620231,0.015491281863530364,-1.0,0.8662362940618878,-0.0052913047684387165,61.44159175995678,28.252100053788983,0.29873523603491237,33.40761830939141,69.39012319259619,1,1,0.0,0.34511917006479365,,,BULL_LOW_VOL,1,0.22853655598401112,0.0,0.9827428043926563,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-03,1416.6421539546416,1420.825397764224,1397.8173136420835,1399.908935546875,11252626.0,52.71323810721216,18.952928281855066,27.4499646840904,-8.497036402235334,15.045584137747198,26.58746589545574,-84.9544158622528,-59.46980075121192,17.969203584657777,-0.005800366381819577,-0.01167285732753054,-0.013407206429375096,-0.010838205444004156,1335.4642895507814,1321.8932592773438,15.300368088562124,22.268208210625875,0.22802143688722776,0.33819043742495203,1.0,1452.0179792222793,1380.2601946058458,0.2738203394385366,0.47330846448758035,10631650.95,1.0584081487362977,0.995070526177671,-0.06667019654419853,-0.005800366381819577,-0.01167285732753054,-0.14223547608246384,0.006083377758834534,0.01643541486014753,-2.0,0.7407263615075765,-0.010716437330964607,58.01455022798113,24.665208518532435,0.2436970036882083,30.981952702948774,54.77556767098165,1,1,0.0,0.3395043612677554,,,BULL_LOW_VOL,1,0.22802143688722776,0.0,0.9068275149275593,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-04,1409.0722382665938,1420.0284799827916,1400.506473605418,1417.8372802734375,8126827.0,57.18687949737724,18.068008443635108,25.573573435999343,-7.505564992364235,42.66049270967963,28.404542885764556,-57.33950729032037,-23.507267219767876,17.42514446039123,0.012806793550152351,0.007502233174080608,-0.003988189785627538,0.012446682757251804,1338.9772583007812,1321.7180871582032,13.418045895957242,20.240579603732208,0.22940703174265062,0.5288159412718285,1.0,1452.118983786325,1381.9022320339875,0.5117731501764275,0.6386347606457243,10365983.85,0.7839899345395951,1.0055374258215202,0.0071315917218030735,0.012806793550152351,0.007502233174080608,-0.11632421393988175,0.006545641996448246,0.013768862371575303,1.0,0.9095265009279389,0.0015735077040490166,55.5954195150312,22.04470973986106,0.2327728944818075,27.997453857447,44.188776599468824,1,1,0.0,0.3104695325479803,,,BULL_LOW_VOL,1,0.22940703174265062,0.0,0.9335547413154107,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-05,1422.3193687346825,1448.913106617055,1417.9368477633757,1436.662109375,13716817.0,61.32434857679769,18.670487718730783,24.19295629254563,-5.522468573814848,79.18790188609123,45.63132624450605,-20.812098113908768,98.78738561575138,18.122824130542725,0.013277143550585846,0.017350777958778263,0.023414165509262785,0.025159897922465868,1342.4284741210938,1321.645849609375,16.104879790380906,21.48560630114644,0.2336991911418994,0.6461016845418621,1.0,1454.122243963807,1383.4248873838494,0.7530298806991478,0.7915338905491384,10246515.95,1.3386810762735406,1.0244638830210275,0.0377505641630608,0.013277143550585846,0.017350777958778263,-0.10528634913948196,0.003161214988211193,0.021561269453368666,2.0,1.0819424713871406,0.013256770261042378,56.632661848006656,20.11978800845141,0.23271726823221656,25.72943907297713,32.403093374630934,1,1,0.0,0.30708407218134226,,,BULL_LOW_VOL,1,0.2336991911418994,0.0,1.1142035916793855,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-06,1435.2676355449807,1445.7258660607492,1431.28354772945,1437.7576904296875,8182161.0,61.5571958155653,19.01714332929396,23.157793699895297,-4.140650370601339,81.04908428221681,67.63249295932924,-18.95091571778319,110.63480225041764,18.761165468307965,0.0007625878399228903,0.015905350048030398,0.011704411240481605,0.048141155464618945,1345.7581762695313,1321.4979400634766,18.433469165548082,21.22236345209337,0.21810816197325045,0.6510738184441729,1.0,1450.595796645302,1393.5549601906355,0.7749313121342871,0.7835971433080468,9972178.8,0.8204988261943317,1.0334391464396888,0.08484966232842898,0.0007625878399228903,0.015905350048030398,-0.05258143139849417,-0.0009706345151859665,0.010045029442327673,3.0,1.0513950573757171,0.011418671530353395,57.312032041763494,18.39314093464849,0.22983820488859785,23.90559941355059,37.2092617387532,1,1,0.0,0.22183140690447348,,,BULL_LOW_VOL,1,0.21810816197325045,0.0,0.9716993715641581,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-09,1451.204075048637,1451.70208605586,1439.5506661134996,1443.0367431640625,7885125.0,62.72181615553148,19.493141039123657,22.42486316774097,-2.931722128617313,85.94515245249525,82.06071287360112,-14.054847547504757,129.04612588910697,19.61895747031726,0.003671726306536005,0.02482851914280415,0.0097574767502695,0.008562583637310661,1348.6805078125,1321.300728149414,21.185005006944984,20.567844506720835,0.1571068296619771,0.6086033309832414,1.0,1452.4933621235689,1392.882516782681,0.8413607640450627,0.8384715123881166,9832731.0,0.8019262400242618,1.0421350437919823,0.021643306203241914,0.003671726306536005,0.02482851914280415,-0.2048227875053644,0.009352330165544685,0.008420728023679254,4.0,1.0688954529495436,0.014388877925268094,55.15101837165348,17.472278310798526,0.22853655598401112,21.632160290697357,27.507551809866747,1,1,0.0,0.26334379278781,,,BULL_LOW_VOL,1,0.1571068296619771,0.0,1.0046582734042089,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-10,1444.2318404180787,1448.1163503747662,1430.2875329933524,1432.777587890625,7913181.0,58.98217135632357,18.825535507472523,21.70499763568728,-2.879462128214758,69.30520350473553,78.76648007981589,-30.69479649526447,74.88421902869467,19.36525720652634,-0.007109420686643664,0.023479136041738125,0.011532210109018726,0.016105142988927845,1351.7293310546875,1321.0146209716797,21.17787737912686,20.553619103286888,0.1498122187250061,0.8779200890629438,1.0,1453.3333827827769,1394.3134311820668,0.6517144739253808,0.7091821706813712,9657995.25,0.8193399142539441,1.0272276402404499,0.04052847170916608,-0.007109420686643664,0.023479136041738125,-0.23910715693600218,0.0008281821372031029,0.012443534524895668,-1.0,0.9158191266882737,0.006632876393505669,52.71323810721216,15.300368088562124,0.22802143688722776,18.952928281855066,15.045584137747198,1,1,0.0,0.23171817241313294,,,BULL_LOW_VOL,1,0.1498122187250061,0.0,1.1026278050271325,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-11,1440.048586734708,1462.7578142878924,1437.3592545136698,1443.13623046875,8195700.0,61.479520922620594,18.914277185402852,21.146853545630396,-2.2325763602275437,73.01372553084714,76.08802716269265,-26.98627446915286,116.29825207599093,19.826169572575477,0.007229763129792621,0.01784333826405904,0.025479436322400684,0.01720017273738428,1355.2323388671875,1320.7667358398437,23.174389926356294,20.39711066267942,0.1503697897317839,0.8142957537306442,1.0,1455.6644394207015,1394.4226211261735,0.7954304868660168,0.7892290221765647,9789272.25,0.8372123882855541,1.0358800281856702,0.010449516567556806,0.007229763129792621,0.01784333826405904,-0.18423843579500587,0.005074757523802046,0.01759955798904223,1.0,0.9923438944422359,0.013067112948503568,57.18687949737724,13.418045895957242,0.22940703174265062,18.068008443635108,42.66049270967963,1,1,0.0,0.27430930600313463,,1.0,BULL_LOW_VOL,1,0.1503697897317839,0.0,0.9925844476460918,100000.0,100000.0,100000.0,102811.86933426917,100000.0
2025-06-12,1447.7179200254843,1451.2039968882907,1428.6939248911117,1435.865234375,8828114.0,58.774495643148406,18.188234342280793,20.555129704960475,-2.3668953626796814,63.013661414786824,68.44419681678987,-36.98633858521318,68.75094345081342,19.49177171567336,-0.0050383296741072225,-0.0005546711330381981,0.01678648285007056,-0.008664592234727153,1358.4873388671874,1320.4852349853516,22.815485398821544,20.069839240317965,0.13157659514166295,0.6395724865060307,1.0,1453.4959292634096,1395.3361386076842,0.6968576624910185,0.6985348526645341,9221817.4,0.9573073958285055,1.0217207338091234,-0.08332572419005946,-0.0050383296741072225,-0.0005546711330381981,-0.2317520190055173,0.00317481431066707,0.015677008857295123,-1.0,0.8743937737694337,0.008454830134195162,61.32434857679769,16.104879790380906,0.2336991911418994,18.670487718730783,79.18790188609123,1,1,0.0,0.2721445634545582,,,BULL_LOW_VOL,1,0.13157659514166295,0.0,0.9788967223262874,100000.0,100000.0,100000.0,102811.86933426917,100000.0
